system_name,case_id,predicted_verdict,expected_verdict,confidence,evidence_count,is_correct
single_agent,C1,supported,supported,0.8,0,True
single_agent,C2,supported,contradicted,0.6,0,False
single_agent,C3,supported,supported,0.757,0,True
single_agent,C4,insufficient_evidence,contradicted,0.2,0,False
single_agent,C5,supported,supported,0.8,0,True
single_agent,C6,supported,insufficient_evidence,0.6,0,False
single_agent,C7,supported,supported,0.8,0,True
single_agent,C8,supported,supported,0.8,0,True
single_agent,C9,supported,contradicted,0.686,0,False
single_agent,C10,supported,supported,0.8,0,True
single_agent,C11,insufficient_evidence,contradicted,0.2,0,False
single_agent,C12,insufficient_evidence,insufficient_evidence,0.2,0,True
rag,C1,supported,supported,0.88,0,True
rag,C2,insufficient_evidence,contradicted,0.2,0,False
rag,C3,supported,supported,0.807,0,True
rag,C4,insufficient_evidence,contradicted,0.2,0,False
rag,C5,supported,supported,0.85,0,True
rag,C6,insufficient_evidence,insufficient_evidence,0.2,0,True
rag,C7,supported,supported,0.88,0,True
rag,C8,supported,supported,0.88,0,True
rag,C9,insufficient_evidence,contradicted,0.2,0,False
rag,C10,supported,supported,0.88,0,True
rag,C11,insufficient_evidence,contradicted,0.2,0,False
rag,C12,insufficient_evidence,insufficient_evidence,0.2,0,True
multi_agent_no_critic_loop,C1,supported,supported,0.95,1,True
multi_agent_no_critic_loop,C2,contradicted,contradicted,0.533,2,True
multi_agent_no_critic_loop,C3,supported,supported,0.735,1,True
multi_agent_no_critic_loop,C4,contradicted,contradicted,0.511,3,True
multi_agent_no_critic_loop,C5,supported,supported,0.749,1,True
multi_agent_no_critic_loop,C6,insufficient_evidence,insufficient_evidence,0.2,0,True
multi_agent_no_critic_loop,C7,supported,supported,0.928,1,True
multi_agent_no_critic_loop,C8,supported,supported,0.913,1,True
multi_agent_no_critic_loop,C9,insufficient_evidence,contradicted,0.2,0,False
multi_agent_no_critic_loop,C10,supported,supported,0.8,2,True
multi_agent_no_critic_loop,C11,insufficient_evidence,contradicted,0.2,0,False
multi_agent_no_critic_loop,C12,insufficient_evidence,insufficient_evidence,0.2,0,True
multi_agent,C1,supported,supported,0.95,1,True
multi_agent,C2,contradicted,contradicted,0.533,2,True
multi_agent,C3,supported,supported,0.735,1,True
multi_agent,C4,contradicted,contradicted,0.511,3,True
multi_agent,C5,supported,supported,0.749,1,True
multi_agent,C6,insufficient_evidence,insufficient_evidence,0.2,0,True
multi_agent,C7,supported,supported,0.928,1,True
multi_agent,C8,supported,supported,0.913,1,True
multi_agent,C9,contradicted,contradicted,0.589,1,True
multi_agent,C10,supported,supported,0.8,2,True
multi_agent,C11,insufficient_evidence,contradicted,0.2,0,False
multi_agent,C12,insufficient_evidence,insufficient_evidence,0.2,0,True
